Title,Price,Category,Seller,Legality,Additional Notes,Site
2000$ US Paypal Accounts Balance - PP Credit,$16.00,Fraud,Rambe,Illegal,Appears to be using an established account w/o owners consent based on description,Tor2door
Twitch Followers | 1000 For 6$,$6.00,Services,socialmedia,Depends,"if the followers are actual accounts then it's done without accountholder's consent, most likely",Tor2door
Ohio Voter Database 7509310 Voters,$9.99,Fraud,GoldApple,Illegal,voters did not consent for this information to be sold (and there is a LOT of information listed),Tor2door
"0,23 Million United Kingdom Mobile Numbers",$9.99,Services,GoldApple,Depends,"numbers, if legitimate, were not given with users consent. probably used for farming data or phishing",Tor2door
Create DROP ADDRESSES,CAD $21,Guide,lordfinnese,Depends,"just knowing how towouldn't be illegal, guide on how to set up drop adresses for purchases on black market",WeTheNorth
YOUTUBE: How To Become Rich || HQ eBook With ECourses,$3.50,Guide,DarknetWizard,Depends,could be illegal depending on the methods presented,Tor2door
California Birth Index 1905-1995,$9.99,Fraud,GoldApple,Illegal,"birth records sold without people's consent, can be used to reissue identity documents fraudulently",Tor2door
Walgreens Pharmacy Prescription Label PSD Template,$24.99,Counterfeit,GoldApple,Illegal,"allows false prescriptions to be filled, i think",Tor2door
-== Spotify PREMIUM Accounts ==- ,$2.99,Accounts,digitalworld,Illegal,account accessed without consent from the account owner,Tor2door
 -== Skillshare Premium Account ==- ,$4.99,Accounts,digitalworld,Illegal,account accessed without consent from the account owner,Tor2door
990K Combolist EmailPass Gaming Streaming and other by Robbin ,$3.00,Guide,katarina,Illegal,"emails are personally identifiable information, for which no consent is given by the owners of the email addresses to be shared",Tor2door
Latest Android Malware with Rooting Abilities Can Wipe Your Data ,$1.36,Software,heartkidnapper,Depends,depends if the buyer intends to actually use it for malicious purposes or not,Tor2door
Mining Botnet | Instant Delivery ,$9.86,Software,topkittzz,Depends,depends if the buyer intends to spread it to computers without consent or not,Tor2door
WhatsApp Pishing (The Ultimate Software) ,$2.99,Software,DangerousTomato,Depends,its illegal if you use it on people without getting their consent,Tor2door
14g Magic Mushrooms - Whole Psilocybe Cubensis,$128.60,Drugs,themushroomman,Illegal,,ASAP market
